x y
5.853069646092932352e-05 1.908360237884961096e-05
5.941374712630034951e-05 1.841821985571046226e-05
6.031012034760815764e-05 1.777603703529558011e-05
6.122001712180970734e-05 1.715624502018471374e-05
6.214364147829645713e-05 1.655806311655328737e-05
6.308120052464449791e-05 1.598073785080568167e-05
6.403290449305501129e-05 1.542354202049532811e-05
6.499896678749540041e-05 1.488577377833601227e-05
6.597960403155159637e-05 1.436675574815075600e-05
6.697503611700232130e-05 1.386583417164461648e-05
6.798548625312613662e-05 1.338237808492676807e-05
6.901118101675291806e-05 1.291577852374430584e-05
7.005235040306923065e-05 1.246544775642747903e-05
7.110922787719148146e-05 1.203081854357903607e-05
7.218205042651648596e-05 1.161134342357606179e-05
7.327105861386203837e-05 1.120649402298395826e-05
7.437649663140911385e-05 1.081576039101403180e-05
7.549861235545798140e-05 1.043865035718633361e-05
7.663765740201041094e-05 1.007468891138871738e-05
7.779388718319022627e-05 9.723417605551228885e-06
7.896756096451605438e-05 9.384393976181887252e-06
8.015894192303567680e-05 9.057190987037433663e-06
8.136829720634132220e-05 8.741396491225253106e-06
8.259589799247138919e-05 8.436612712061090759e-06
8.384201955071845375e-05 8.142455742026893443e-06
8.510694130335373913e-05 7.858555059198580261e-06
8.639094688828295612e-05 7.584553060534354719e-06
8.769432422264741855e-05 7.320104611435720007e-06
8.901736556738477251e-05 7.064876611013825138e-06
9.036036759276367802e-05 6.818547572513537661e-06
9.172363144490703907e-05 6.580807218366795214e-06
9.310746281331985547e-05 6.351356089364923113e-06
9.451217199943392068e-05 6.129905167458211116e-06
9.593807398618856984e-05 5.916175511706837132e-06
9.738548850866023067e-05 5.709897906925209837e-06
9.885474012575778578e-05 5.510812524576848855e-06
1.003461582929995351e-04 5.318668595492778468e-06
1.018600774363881975e-04 5.133224094001139879e-06
1.033968370274003371e-04 4.954245433070179108e-06
1.049567816591076553e-04 4.781507170080548013e-06
1.065402611234456674e-04 4.614791722856471957e-06
1.081476304896495229e-04 4.453889095597822911e-06
1.097792501838717956e-04 4.298596614368192110e-06
1.114354860700024914e-04 4.148718671805520126e-06
1.131167095317079025e-04 4.004066480733865828e-06
1.148232975557073634e-04 3.864457836365928353e-06
1.165556328163062309e-04 3.729716886796773085e-06
1.183141037612042110e-04 3.599673911499710838e-06
1.200991046985988879e-04 3.474165107545235822e-06
1.219110358856020991e-04 3.353032383273914537e-06
1.237503036179913977e-04 3.236123159163117867e-06
1.256173203213155202e-04 3.123290175636918653e-06
1.275125046433733215e-04 3.014391307577053277e-06
1.294362815480892305e-04 2.909289385301226693e-06
1.313890824108041315e-04 2.807852021783353605e-06
1.333713451150043852e-04 2.709951445898033056e-06
1.353835141505098068e-04 2.615464341479274025e-06
1.374260407131432603e-04 2.524271691990682142e-06
1.394993828059042855e-04 2.436258630611493770e-06
1.416040053416678715e-04 2.351314295549654203e-06
1.437403802474345892e-04 2.269331690399583553e-06
1.459089865701515684e-04 2.190207549368881974e-06
1.481103105841312926e-04 2.113842207204091205e-06
1.503448459000906513e-04 2.040139473651724193e-06
1.526130935758349442e-04 1.969006512296438689e-06
1.549155622286118553e-04 1.900353723623717580e-06
1.572527681491603868e-04 1.834094632159774291e-06
1.596252354174810997e-04 1.770145777546498814e-06
1.620334960203516762e-04 1.708426609414305507e-06
1.644780899706165076e-04 1.648859385920375361e-06
1.669595654282762744e-04 1.591369075824547897e-06
1.694784788234027543e-04 1.535883263979534672e-06
1.720353949809098654e-04 1.482332060116334702e-06
1.746308872472062063e-04 1.430648010810028616e-06
1.772655376187584489e-04 1.380766014515035143e-06
1.799399368725945855e-04 1.332623239562798840e-06
1.826546846987757346e-04 1.286159045018640496e-06
1.854103898348675138e-04 1.241314904298053680e-06
1.882076702024381115e-04 1.198034331446277442e-06
1.910471530456186475e-04 1.156262809988220135e-06
1.939294750717508926e-04 1.115947724259190903e-06
1.968552825941592395e-04 1.077038293129875896e-06
