# sigma mu
4.40000000e-01 2.55027085e-05
5.85438774e-01 3.35288109e-05
7.78951270e-01 4.36902912e-05
1.03642790e+00 5.60875940e-05
1.37901155e+00 7.03733548e-05
1.83483370e+00 8.55500746e-05
2.44132453e+00 1.00050225e-04
3.24828646e+00 1.12330019e-04
4.32198374e+00 1.21587120e-04
5.75058378e+00 1.27922126e-04
7.65139709e+00 1.31959378e-04
1.01805103e+01 1.34412229e-04
1.35456034e+01 1.35858398e-04
1.80230032e+01 1.36695773e-04
2.39803748e+01 1.37175532e-04
3.19069120e+01 1.37448726e-04
4.24535078e+01 1.37603752e-04
5.64862036e+01 1.37691547e-04
7.51573041e+01 1.37741213e-04
1.00000000e+02 1.37769290e-04
