# sigma mu
4.40000000e-01 4.56646556e-06
5.85438774e-01 5.99373084e-06
7.78951270e-01 7.80072595e-06
1.03642790e+00 1.00053128e-05
1.37901155e+00 1.25457202e-05
1.83483370e+00 1.52445650e-05
2.44132453e+00 1.78230969e-05
3.24828646e+00 2.00067875e-05
4.32198374e+00 2.16529586e-05
5.75058378e+00 2.27794998e-05
7.65139709e+00 2.34974359e-05
1.01805103e+01 2.39336214e-05
1.35456034e+01 2.41907905e-05
1.80230032e+01 2.43396993e-05
2.39803748e+01 2.44250138e-05
3.19069120e+01 2.44735954e-05
4.24535078e+01 2.45011633e-05
5.64862036e+01 2.45167758e-05
7.51573041e+01 2.45256076e-05
1.00000000e+02 2.45306006e-05
