# sigma mu
4.40000000e-01 8.05297987e-04
5.85438774e-01 1.05910563e-03
7.78951270e-01 1.38043985e-03
1.03642790e+00 1.77247699e-03
1.37901155e+00 2.22423241e-03
1.83483370e+00 2.70416243e-03
2.44132453e+00 3.16269745e-03
3.24828646e+00 3.55101864e-03
4.32198374e+00 3.84375386e-03
5.75058378e+00 4.04408436e-03
7.65139709e+00 4.17175347e-03
1.01805103e+01 4.24931943e-03
1.35456034e+01 4.29505129e-03
1.80230032e+01 4.32153143e-03
2.39803748e+01 4.33670273e-03
3.19069120e+01 4.34534189e-03
4.24535078e+01 4.35024424e-03
5.64862036e+01 4.35302058e-03
7.51573041e+01 4.35459113e-03
1.00000000e+02 4.35547901e-03
