# sigma mu
4.40000000e-01 1.43235854e-04
5.85438774e-01 1.88369945e-04
7.78951270e-01 2.45512148e-04
1.03642790e+00 3.15227305e-04
1.37901155e+00 3.95562041e-04
1.83483370e+00 4.80907009e-04
2.44132453e+00 5.62447346e-04
3.24828646e+00 6.31501705e-04
4.32198374e+00 6.83558207e-04
5.75058378e+00 7.19182566e-04
7.65139709e+00 7.41885702e-04
1.01805103e+01 7.55679097e-04
1.35456034e+01 7.63811499e-04
1.80230032e+01 7.68520407e-04
2.39803748e+01 7.71218288e-04
3.19069120e+01 7.72754573e-04
4.24535078e+01 7.73626347e-04
5.64862036e+01 7.74120057e-04
7.51573041e+01 7.74399345e-04
1.00000000e+02 7.74557236e-04
