k W
1.640590000000000093e-04 2.251737569589924732e-18
1.659587000000000074e-04 2.357858989090057506e-18
1.678803999999999995e-04 2.468981382726303771e-18
1.698244000000000066e-04 2.585340640756631099e-18
1.717908000000000087e-04 2.707184244118346030e-18
1.737801000000000135e-04 2.834770041745389100e-18
1.757924000000000010e-04 2.968368335513967758e-18
1.778279000000000123e-04 3.108263386417332779e-18
1.798871000000000009e-04 3.254751299247504443e-18
1.819701000000000012e-04 3.408142862350696327e-18
1.840772000000000068e-04 3.568763660721609418e-18
1.862087000000000117e-04 3.736954425102714635e-18
1.883649000000000098e-04 3.913071886354337763e-18
1.905460999999999949e-04 4.097488823019654430e-18
1.927525000000000082e-04 4.290597490349444485e-18
1.949844999999999964e-04 4.492807269692274313e-18
1.972423000000000004e-04 4.704546375597026124e-18
1.995261999999999871e-04 4.926264998976506781e-18
2.018366000000000116e-04 5.158432761599658068e-18
2.041737999999999865e-04 5.401541989897345370e-18
2.065380000000000070e-04 5.656108521165311402e-18
2.089295999999999927e-04 5.922672898851454479e-18
2.113488999999999917e-04 6.201799790970160691e-18
2.137961999999999979e-04 6.494081588011509211e-18
2.162719000000000121e-04 6.800137931146541999e-18
2.187761999999999942e-04 7.120618310300414760e-18
2.213094999999999993e-04 7.456202986647579047e-18
2.238720999999999940e-04 7.807602708581434186e-18
2.264644000000000065e-04 8.175563388664519771e-18
2.290868000000000103e-04 8.560865867458558243e-18
2.317394999999999926e-04 8.964327156955911893e-18
2.344229000000000083e-04 9.386802365594601130e-18
2.371374000000000040e-04 9.829189149246324174e-18
2.398833000000000009e-04 1.029242386778366734e-17
2.426609999999999997e-04 1.077749078356276912e-17
2.454709000000000014e-04 1.128541807107217263e-17
2.483132999999999998e-04 1.181728339343184263e-17
2.511885999999999958e-04 1.237421506628505637e-17
2.540972999999999973e-04 1.295739315735926209e-17
2.570396000000000182e-04 1.356805575682776744e-17
2.600160000000000123e-04 1.420749851545294317e-17
2.630267999999999734e-04 1.487707721503727938e-17
2.660725000000000178e-04 1.557821173660364200e-17
2.691535000000000108e-04 1.631239040368862726e-17
2.722701000000000006e-04 1.708116890747941880e-17
2.754228999999999749e-04 1.788617849723904395e-17
2.786121000000000019e-04 1.872912885716119901e-17
2.818383000000000151e-04 1.961180464313019312e-17
2.851018000000000085e-04 2.053607974720985284e-17
2.884032000000000240e-04 2.150391593652233811e-17
2.917427000000000215e-04 2.251736266313156402e-17
2.951208999999999885e-04 2.357857368077157336e-17
2.985382999999999874e-04 2.468979623319001820e-17
3.019952000000000118e-04 2.585338978369987736e-17
3.054921000000000155e-04 2.707182203865309922e-17
3.090295000000000064e-04 2.834767899645347706e-17
3.126078999999999924e-04 2.968366157597888053e-17
3.162277999999999812e-04 3.108260792399644468e-17
3.198895000000000211e-04 3.254748612343567071e-17
3.235937000000000253e-04 3.408140081844125200e-17
3.273406999999999879e-04 3.568760671853235436e-17
3.311311000000000050e-04 3.736951152333582865e-17
3.349653999999999761e-04 3.913067821181849541e-17
3.388441999999999973e-04 4.097484957993508590e-17
3.427678000000000083e-04 4.290593338762050600e-17
3.467368999999999768e-04 4.492802925426189349e-17
3.507518999999999850e-04 4.704541831278306979e-17
3.548134000000000205e-04 4.926259794928518888e-17
3.589218999999999830e-04 5.158427361426764888e-17
3.630781000000000026e-04 5.401536219195701232e-17
3.672823000000000190e-04 5.656102494663764103e-17
3.715351999999999999e-04 5.922666304635897385e-17
3.758373999999999873e-04 6.201792372118160370e-17
3.801893999999999890e-04 6.494074073907927428e-17
3.845917999999999928e-04 6.800129546292019123e-17
3.890451000000000065e-04 7.120609734616246239e-17
3.935500999999999778e-04 7.456193658347659449e-17
3.981071999999999888e-04 7.807593101489660686e-17
4.027169999999999730e-04 8.175552940591691341e-17
4.073802999999999864e-04 8.560854521994764899e-17
4.120975000000000029e-04 8.964314595371565345e-17
4.168694000000000240e-04 9.386789591527377648e-17
4.216965000000000036e-04 9.829174863645297246e-17
4.265795000000000177e-04 1.029240907912607382e-16
4.315190999999999797e-04 1.077747512997537225e-16
4.365158000000000059e-04 1.128540113522270719e-16
4.415703999999999897e-04 1.181726498017358564e-16
4.466836000000000070e-04 1.237419483620676750e-16
4.518559000000000117e-04 1.295737213541944234e-16
4.570881999999999853e-04 1.356803337762549248e-16
4.623809999999999899e-04 1.420747439634790414e-16
4.677350999999999731e-04 1.487705071699200197e-16
4.731512999999999908e-04 1.557818371007693077e-16
4.786300999999999967e-04 1.631235983565014327e-16
4.841724000000000266e-04 1.708113727893996215e-16
4.897788000000000141e-04 1.788614583338716275e-16
4.954501999999999951e-04 1.872909124956072928e-16
5.011872000000000115e-04 1.961176547654770497e-16
5.069907000000000450e-04 2.053603904850076855e-16
5.128614000000000089e-04 2.150387024328862302e-16
5.188000000000000337e-04 2.251731555415205621e-16
5.248075000000000266e-04 2.357852143666912291e-16
5.308844000000000497e-04 2.468974212494644615e-16
5.370318000000000444e-04 2.585332947794119400e-16
5.432502999999999985e-04 2.707175770721096487e-16
5.495409000000000361e-04 2.834760922778807178e-16
5.559042999999999624e-04 2.968358944358954837e-16
5.623413000000000500e-04 3.108253227751142725e-16
5.688528999999999895e-04 3.254740371852781774e-16
5.754399000000000536e-04 3.408131135265518370e-16
5.821032000000000073e-04 3.568750993363886486e-16
5.888437000000000488e-04 3.736940776678206119e-16
5.956620999999999834e-04 3.913057101486690966e-16
6.025596000000000034e-04 4.097473496166485427e-16
6.095369000000000221e-04 4.290580842007416261e-16
6.165949999999999469e-04 4.492789258288699304e-16
6.237347999999999764e-04 4.704527465601546485e-16
6.309573000000000178e-04 4.926244509589572564e-16
